time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.668670365558226e-08,1.4266559510865465e-06,10.001624770348274,0.001014085183157043,6.282750491953765,0.0,1.1691726256170014e-05,0.00010754460480993918,0.05415743672706051,0.03840952512745765,-0.028518258446267073,0.0,421.6044630773281,419.1337439392147,422.17854796457783,425.4791253343228
0.12000000000000001,1.9291749337409297e-05,4.4606302142087594e-05,10.012027440220324,0.003942738372778365,6.281020038332237,0.0,0.0008447094732329501,0.0016590504492853622,0.2925661438298565,0.06410566981097367,-0.029493994385972933,0.0,478.93963235924934,478.86525513464227,477.75796017059594,479.7140131943464
0.18,0.00012121465900669966,0.00023964704725333317,10.032445097127242,0.007745323572306617,6.279104526617722,0.0,0.0027388525786598084,0.005229758449141117,0.3879916721684015,0.06187724225317612,-0.03729351899827338,0.0,435.0230637171223,434.3691758423959,436.5054949470663,436.322525287133
0.23999999999999996,0.0003829123511155391,0.0007359986881997672,10.059714370395831,0.011472338265106963,6.276533811750852,0.0,0.006237595819283358,0.01171244627772475,0.5209274488650966,0.06259177597680238,-0.05727033029415065,0.0,448.79391202630256,447.1686876777604,446.8251479792472,446.8861419960044
0.3,0.0008915870911852969,0.0016633178569787318,10.09175362502325,0.015422122278980765,6.273085455167484,0.0,0.011031629471103695,0.019549456652765067,0.5470283370875385,0.07162296803380101,-0.05788009427402855,0.0,412.3373982102408,412.2809739702125,413.4974289136624,414.2956791171171
0.36000000000000004,0.0018108511634340075,0.003225254337171968,10.130870870585525,0.020079969535255593,6.2692259915095185,0.0,0.02003706041188465,0.03304507978478595,0.7567501751010777,0.08753123262477275,-0.08208896621579284,0.0,470.9855879987918,469.1067617386885,470.97061859513866,472.2035714625568
0.4200000000000001,0.0033338374333563453,0.005662304706592594,10.18018429535831,0.02558360011687011,6.264354143204926,0.0,0.03124936342160912,0.048761474789859455,0.8869170600590321,0.09901463089501074,-0.07947262823121726,0.0,447.38058888949115,447.5882542882029,446.15131519038107,447.09475996611314
0.48000000000000015,0.005657488256748796,0.009195135797909707,10.238492458756587,0.031462782338563144,6.259621952861146,0.0,0.04673645385157324,0.06965915380971865,1.0565165626850537,0.09584792777864105,-0.0776914233292972,0.0,459.19205557277945,459.3285581734619,459.6639549594577,459.42085561552534
0.5400000000000001,0.00902070320342763,0.014119268822209189,10.30710700137512,0.03732260717112723,6.2551970956001295,0.0,0.0658786721604903,0.09512826066911607,1.2304272033975048,0.10106580284693152,-0.06684456062848196,0.0,461.4069813357567,462.25835356361665,460.1250941481008,460.5457417410905
0.6000000000000002,0.013495413023920386,0.02052485897175108,10.38142338181248,0.043215045411259645,6.251017492937226,0.0,0.08364422223481759,0.11892626284904172,1.24673378036905,0.09177600599168026,-0.07598379346278132,0.0,411.37159981597995,410.5574392488321,412.0287257678939,411.2157792950306
0.6600000000000003,0.019158237354646925,0.028523448040072126,10.458059105051849,0.049183476757558076,6.2464591239205856,0.0,0.10555305624435922,0.14824423353087657,1.3076793561646205,0.1115881435670831,-0.07595088597291498,0.0,425.60932460317855,425.60730909711634,426.0436408563218,427.7428185546372
0.7200000000000003,0.026274013223615025,0.03846746591716942,10.53966175194127,0.055497701911471964,6.241983240261078,0.0,0.1320984310559518,0.18388755744856167,1.4122282570612708,0.08785383440641288,-0.07202251531551013,0.0,439.9273303852708,440.24803129515294,441.9252756914847,439.97428100844934
0.7800000000000004,0.035142990679236784,0.05076719848992874,10.629145296763932,0.06094072535241324,6.237369105362376,0.0,0.16401689608980932,0.2266822833811457,1.5702908989575888,0.09590015065852694,-0.089079380917759,0.0,458.7563196450926,457.39543406479595,456.6318380845742,457.279828037622
0.8400000000000004,0.045953325889020326,0.06565044119193127,10.726365294178509,0.0670042459934228,6.231772535071066,0.0,0.1968771032815645,0.27001753915804694,1.6701617670158213,0.10976608912257582,-0.10336278713585671,0.0,440.16147124247595,438.9703185432787,439.8997328686755,441.0551738017254
0.9000000000000005,0.05901018118527616,0.0834634066490943,10.832520666049593,0.07375465393117064,6.22530953581877,0.0,0.2390708794251938,0.3244989033151648,1.8679417559187121,0.11748681132490181,-0.11826683399381584,0.0,470.7884792507049,469.6243127700723,470.53281485979863,471.1405268387865
0.9600000000000005,0.0745027223346214,0.10438612952289243,10.946278191993514,0.0807632275511363,6.218447033206292,0.0,0.2780068631729077,0.373582673619518,1.923777642080375,0.11542079925680283,-0.1075544263828189,0.0,425.7675164758387,426.6706345329628,428.3084350278771,428.14549126959315
1.0200000000000005,0.09293998793597495,0.12898474530186463,11.070582170192615,0.08934061187496667,6.2121177637179255,0.0,0.33736931571382345,0.4473669827696086,2.2189926686433856,0.17164423073343338,-0.10164859047308608,0.0,499.91274399136046,500.3344752210951,497.66448917054163,501.7772191786227
1.0800000000000005,0.11469561074620276,0.157732916841162,11.20692116524367,0.09991548038518872,6.20590820372712,0.0,0.3884344326024734,0.511951554590666,2.3252553278069485,0.18414121158683897,-0.10745893279843764,0.0,445.3228160521604,444.8379708446835,445.1342020657789,446.1853184978132
1.1400000000000006,0.13978331913323275,0.19075519439750172,11.351341107665059,0.11058996284835398,6.1991424423069645,0.0,0.44852573019948305,0.589955901166562,2.488178437817864,0.16100304321842443,-0.12632458511320843,0.0,463.78559352733214,462.29051841262475,465.3012008399559,463.5149421692256
